SeqID;Isolate_Id;Isolate_Name;;Location;lat;lon;Host;Collection_Date;;;
>EPI_ISL_158384|A/mallard/Sweden/101565/2009|A_/_H4N6;EPI_ISL_158384;A/mallard/Sweden/101565/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-11;;;
>EPI_ISL_158385|A/mallard/Sweden/101602/2009|A_/_H4N6;EPI_ISL_158385;A/mallard/Sweden/101602/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-11;;;
>EPI_ISL_158386|A/mallard/Sweden/101603/2009|A_/_H4N6;EPI_ISL_158386;A/mallard/Sweden/101603/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-11;;;
>EPI_ISL_158387|A/mallard/Sweden/101632/2009|A_/_H4N6;EPI_ISL_158387;A/mallard/Sweden/101632/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-12;;;
>EPI_ISL_158388|A/mallard/Sweden/101640/2009|A_/_H4N6;EPI_ISL_158388;A/mallard/Sweden/101640/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-12;;;
>EPI_ISL_158389|A/mallard/Sweden/101642/2009|A_/_H4N6;EPI_ISL_158389;A/mallard/Sweden/101642/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-12;;;
>EPI_ISL_158390|A/mallard/Sweden/101654/2009|A_/_H4N6;EPI_ISL_158390;A/mallard/Sweden/101654/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-12;;;
>EPI_ISL_158391|A/mallard/Sweden/101658/2009|A_/_H4N6;EPI_ISL_158391;A/mallard/Sweden/101658/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-12;;;
>EPI_ISL_158392|A/mallard/Sweden/101663/2009|A_/_H4N6;EPI_ISL_158392;A/mallard/Sweden/101663/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-12;;;
>EPI_ISL_158393|A/mallard/Sweden/101733/2009|A_/_H4N6;EPI_ISL_158393;A/mallard/Sweden/101733/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-13;;;
>EPI_ISL_158395|A/mallard/Sweden/101785/2009|A_/_H4N6;EPI_ISL_158395;A/mallard/Sweden/101785/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-13;;;
>EPI_ISL_158396|A/mallard/Sweden/101799/2009|A_/_H4N6;EPI_ISL_158396;A/mallard/Sweden/101799/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-13;;;
>EPI_ISL_158397|A/mallard/Sweden/101831/2009|A_/_H4N6;EPI_ISL_158397;A/mallard/Sweden/101831/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-13;;;
>EPI_ISL_158398|A/mallard/Sweden/101900/2009|A_/_H4N3;EPI_ISL_158398;A/mallard/Sweden/101900/2009;A / H4N3;Europe / Sweden;;;Anas platyrhynchos;2009-11-14;;;
>EPI_ISL_158399|A/mallard/Sweden/102012/2009|A_/_H4N6;EPI_ISL_158399;A/mallard/Sweden/102012/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-16;;;
>EPI_ISL_158400|A/mallard/Sweden/102024/2009|A_/_H4N6;EPI_ISL_158400;A/mallard/Sweden/102024/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-16;;;
>EPI_ISL_158401|A/mallard/Sweden/102029/2009|A_/_H4N6;EPI_ISL_158401;A/mallard/Sweden/102029/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-16;;;
>EPI_ISL_158402|A/mallard/Sweden/102045/2009|A_/_H4N6;EPI_ISL_158402;A/mallard/Sweden/102045/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-16;;;
>EPI_ISL_158403|A/mallard/Sweden/102056/2009|A_/_H4N6;EPI_ISL_158403;A/mallard/Sweden/102056/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-16;;;
>EPI_ISL_158404|A/mallard/Sweden/102114/2009|A_/_H4N6;EPI_ISL_158404;A/mallard/Sweden/102114/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-17;;;
>EPI_ISL_158405|A/mallard/Sweden/102124/2009|A_/_H4N6;EPI_ISL_158405;A/mallard/Sweden/102124/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-17;;;
>EPI_ISL_158406|A/mallard/Sweden/102157/2009|A_/_H4N6;EPI_ISL_158406;A/mallard/Sweden/102157/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-18;;;
>EPI_ISL_158407|A/mallard/Sweden/80178/2008|A_/_H4N6;EPI_ISL_158407;A/mallard/Sweden/80178/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-19;;;
>EPI_ISL_158408|A/mallard/Sweden/104681/2009|A_/_H4N6;EPI_ISL_158408;A/mallard/Sweden/104681/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-21;;;
